output,time_step,indicator,cor_value,p_value
TP,6,COD,0.2367274086596306,***
TP,6,DO,0.12006401572994284,***
TP,6,pH,0.19348403887912946,***
TP,6,TP,0.7079887209244315,***
TP,6,WT,0.07843523006354411,***
TP,7,AN,0.18278111413727238,***
TP,7,BOD,0.01121349005749819,
TP,7,COD,0.25497384320356586,***
TP,7,DO,0.1238995853554583,***
TP,7,pH,0.19588687873558122,***
TP,7,TP,0.7084661778018853,***
TP,7,WT,0.0866449062770511,***
TP,8,AN,0.1921923988487771,***
TP,8,BOD,0.007991129351618075,
TP,8,COD,0.27432255641826064,***
TP,8,DO,0.11613193948934135,***
TP,8,pH,0.19744356010560765,***
TP,8,TP,0.7193125009485445,***
TP,8,WT,0.08412198142474257,***
TP,9,AN,0.21649210595267773,***
TP,9,BOD,0.0023727713372645445,
TP,9,COD,0.2757806639353869,***
TP,9,DO,0.09996183550057974,***
TP,9,pH,0.19961846433987787,***
TP,9,TP,0.7385864250499738,***
TP,9,WT,0.06721900450775029,***
TP,10,AN,0.21745055046898693,***
TP,10,BOD,0.015973463334128458,
TP,10,COD,0.27473388577146063,***
TP,10,DO,0.0902107856951427,***
TP,10,pH,0.18899563123787866,***
TP,10,TP,0.747231174702689,***
TP,10,WT,0.05591091356263058,***
TP,11,AN,0.22707996866745928,***
TP,11,BOD,0.00791028856936786,
TP,11,COD,0.2791566430083153,***
TP,11,DO,0.07832131876803865,***
TP,11,pH,0.19115147357786944,***
TP,11,TP,0.7663065840209724,***
TP,11,WT,0.03838730689732878,*
TP,12,AN,0.24423425051241499,***
TP,12,BOD,0.004860911967632331,
TP,12,COD,0.28222375686718,***
TP,12,DO,0.06945007167640233,***
TP,12,pH,0.1888753931999712,***
TP,12,TP,0.7742591980914114,***
TP,12,WT,0.02233610098436653,
WT,1,AN,0.10987111719079276,***
WT,1,BOD,0.14340563694836017,***
WT,1,COD,0.10052936245039905,***
WT,1,DO,0.6415797212730208,***
WT,1,pH,0.1284992791067317,***
WT,1,TP,0.041050121085007094,*
WT,1,WT,0.8137640350054176,***
WT,2,AN,0.04734020074987218,**
WT,2,BOD,0.025162604536770005,
WT,2,COD,0.05300712978865722,**
WT,2,DO,0.3469726607569956,***
WT,2,pH,0.08095682117829395,***
WT,2,TP,0.05096259656151818,**
WT,2,WT,0.4747868893795616,***
WT,3,AN,0.032570225362204545,*
WT,3,BOD,0.08627617481362704,***
WT,3,COD,0.00938125558794561,
WT,3,DO,0.01721371348710564,
WT,3,pH,0.03308790219423158,*
WT,3,TP,0.061010308620549375,***
WT,3,WT,0.026372545965130445,
WT,4,AN,0.11454934250036136,***
WT,4,BOD,0.17112967614297547,***
WT,4,COD,0.04520231043035725,**
WT,4,DO,0.3748256001861807,***
WT,4,pH,0.005090163185151809,
WT,4,TP,0.06540574386051361,***
WT,4,WT,0.4232239850587239,***
WT,5,AN,0.17822288210620674,***
WT,5,BOD,0.2112801837758459,***
WT,5,COD,0.06649322681051861,***
WT,5,DO,0.6164132529305362,***
